# tau_fs It_norm phiet_rel_rad
2.7910958400e+02 4.4265331856e-22 1.4734213654e+01
2.8149513600e+02 1.1952643641e-22 1.4592890390e+01
2.8388068800e+02 2.5415599378e-23 1.3995774533e+01
2.8626624000e+02 2.2582690138e-23 1.3147745453e+01
2.8865179200e+02 2.8819632823e-23 1.2927846062e+01
2.9103734400e+02 2.3775268579e-23 1.2998711914e+01
2.9342289600e+02 1.4422306413e-23 1.3257857473e+01
2.9580844800e+02 8.4640824971e-24 1.3726340671e+01
2.9819400000e+02 7.0740633282e-24 1.4298976073e+01
3.0057955200e+02 7.8408845866e-24 1.4757544280e+01
3.0296510400e+02 8.5164221634e-24 1.5094543362e+01
